NAME,GRASS,,,,,,,,,,,,,,,,,,,,
FLAMMABILITY,1,,,,,,,,,,,,,,,,,,,,
FFDI,,2.5,5,7.5,10,12.5,15,17.5,20,22.5,25,27.5,30,32.5,35,37.5,40,42.5,45,47.5,50
STARTS_PER_KM^2_PER_HOUR_POISSON_PARAMETER,TIME_STEP,,,,,,,,,,,,,,,,,,,,
,0,0.000006,0.000012,0.000018,0.000024,0.00003,0.000036,0.000042,0.000048,0.000054,0.00006,0.000066,0.000072,0.000078,0.000084,0.00009,0.000096,0.000102,0.000108,0.000114,0.00012
,1,0.000006,0.000014,0.00002,0.000028,0.000034,0.000042,0.000048,0.000056,0.000062,0.00007,0.000076,0.000084,0.00009,0.000098,0.000104,0.000112,0.000118,0.000124,0.000132,0.000138
,2,0.000008,0.000016,0.000024,0.000032,0.00004,0.000048,0.000054,0.000062,0.00007,0.000078,0.000086,0.000094,0.000102,0.00011,0.000118,0.000126,0.000134,0.000142,0.00015,0.000158
,3,0.000008,0.000018,0.000026,0.000034,0.000044,0.000052,0.000062,0.00007,0.000078,0.000088,0.000096,0.000104,0.000114,0.000122,0.00013,0.00014,0.000148,0.000158,0.000166,0.000174
,4,0.00001,0.00002,0.000028,0.000038,0.000048,0.000058,0.000066,0.000076,0.000086,0.000096,0.000104,0.000114,0.000124,0.000134,0.000142,0.000152,0.000162,0.000172,0.000182,0.00019
,5,0.00001,0.00002,0.00003,0.00004,0.000052,0.000062,0.000072,0.000082,0.000092,0.000102,0.000112,0.000122,0.000134,0.000144,0.000154,0.000164,0.000174,0.000184,0.000194,0.000204
,6,0.00001,0.000022,0.000032,0.000044,0.000054,0.000066,0.000076,0.000086,0.000098,0.000108,0.00012,0.00013,0.000142,0.000152,0.000162,0.000174,0.000184,0.000196,0.000206,0.000218
,7,0.000012,0.000022,0.000034,0.000046,0.000056,0.000068,0.00008,0.00009,0.000102,0.000114,0.000124,0.000136,0.000148,0.000158,0.00017,0.000182,0.000192,0.000204,0.000216,0.000226
,8,0.000012,0.000024,0.000036,0.000046,0.000058,0.00007,0.000082,0.000094,0.000106,0.000118,0.000128,0.00014,0.000152,0.000164,0.000176,0.000188,0.0002,0.00021,0.000222,0.000234
,9,0.000012,0.000024,0.000036,0.000048,0.00006,0.000072,0.000084,0.000096,0.000108,0.00012,0.000132,0.000144,0.000156,0.000166,0.000178,0.00019,0.000202,0.000214,0.000226,0.000238
,10,0.000012,0.000024,0.000036,0.000048,0.00006,0.000072,0.000084,0.000096,0.000108,0.00012,0.000132,0.000144,0.000156,0.000168,0.00018,0.000192,0.000204,0.000216,0.000228,0.00024
,11,0.000012,0.000024,0.000036,0.000048,0.00006,0.000072,0.000084,0.000096,0.000108,0.00012,0.000132,0.000144,0.000156,0.000166,0.000178,0.00019,0.000202,0.000214,0.000226,0.000238
,12,0.000012,0.000024,0.000036,0.000046,0.000058,0.00007,0.000082,0.000094,0.000106,0.000118,0.000128,0.00014,0.000152,0.000164,0.000176,0.000188,0.0002,0.00021,0.000222,0.000234
,13,0.000012,0.000022,0.000034,0.000046,0.000056,0.000068,0.00008,0.00009,0.000102,0.000114,0.000124,0.000136,0.000148,0.000158,0.00017,0.000182,0.000192,0.000204,0.000216,0.000226
,14,0.00001,0.000022,0.000032,0.000044,0.000054,0.000066,0.000076,0.000086,0.000098,0.000108,0.00012,0.00013,0.000142,0.000152,0.000162,0.000174,0.000184,0.000196,0.000206,0.000218
,15,0.00001,0.00002,0.00003,0.00004,0.000052,0.000062,0.000072,0.000082,0.000092,0.000102,0.000112,0.000122,0.000134,0.000144,0.000154,0.000164,0.000174,0.000184,0.000194,0.000204
,16,0.00001,0.00002,0.000028,0.000038,0.000048,0.000058,0.000066,0.000076,0.000086,0.000096,0.000104,0.000114,0.000124,0.000134,0.000142,0.000152,0.000162,0.000172,0.000182,0.00019
,17,0.000008,0.000018,0.000026,0.000034,0.000044,0.000052,0.000062,0.00007,0.000078,0.000088,0.000096,0.000104,0.000114,0.000122,0.00013,0.00014,0.000148,0.000158,0.000166,0.000174
,18,0.000008,0.000016,0.000024,0.000032,0.00004,0.000048,0.000054,0.000062,0.00007,0.000078,0.000086,0.000094,0.000102,0.00011,0.000118,0.000126,0.000134,0.000142,0.00015,0.000158
